PDA Output for aabb$
| step | state |     Unread input      | (Top of) stack | Δ rule used | R rule used |
|   18 |    qa |         aaabbbbbbbbb$ |              a |           7 |    S -> aSb |
|   19 |     q |         aaabbbbbbbbb$ |              S |           3 |             |
|   20 |    qa |          aabbbbbbbbb$ |              S |           2 |             |
|   21 |    qa |          aabbbbbbbbb$ |              a |           7 |    S -> aSb |
|   22 |     q |          aabbbbbbbbb$ |              S |           3 |             |
|   23 |    qa |           abbbbbbbbb$ |              S |           2 |             |
|   24 |    qa |           abbbbbbbbb$ |              a |           7 |    S -> aSb |
|   25 |     q |           abbbbbbbbb$ |              S |           3 |             |
|   26 |    qa |            bbbbbbbbb$ |              S |           2 |             |
|   27 |    qa |            bbbbbbbbb$ |              a |           7 |    S -> aSb |
|   28 |     q |            bbbbbbbbb$ |              S |           3 |             |
|   29 |    qb |             bbbbbbbb$ |              S |           4 |             |
|   30 |    qb |             bbbbbbbb$ |              b |           8 |      S -> e |
|   31 |     q |             bbbbbbbb$ |              S |           5 |             |
|   32 |    qb |              bbbbbbb$ |              S |           4 |             |
|   33 |    qb |              bbbbbbb$ |              b |           8 |      S -> e |
|   34 |     q |              bbbbbbb$ |              S |           5 |             |
|   35 |    qb |               bbbbbb$ |              S |           4 |             |
|   36 |    qb |               bbbbbb$ |              b |           8 |      S -> e |
|   37 |     q |               bbbbbb$ |              S |           5 |             |
|   38 |    qb |                bbbbb$ |              S |           4 |             |
|   39 |    qb |                bbbbb$ |              b |           8 |      S -> e |
|   40 |     q |                bbbbb$ |              S |           5 |             |
|   41 |    qb |                 bbbb$ |              S |           4 |             |
|   42 |    qb |                 bbbb$ |              b |           8 |      S -> e |
|   43 |     q |                 bbbb$ |              S |           5 |             |
|   44 |    qb |                  bbb$ |              S |           4 |             |
|   45 |    qb |                  bbb$ |              b |           8 |      S -> e |
|   46 |     q |                  bbb$ |              S |           5 |             |
|   47 |    qb |                   bb$ |              S |           4 |             |
|   48 |    qb |                   bb$ |              b |           8 |      S -> e |
|   49 |     q |                   bb$ |              S |           5 |             |
|   50 |    qb |                    b$ |              S |           4 |             |
|   51 |    qb |                    b$ |              b |           8 |      S -> e |
|   52 |     q |                    b$ |              S |           5 |             |
|   53 |    qb |                     $ |              S |           4 |             |
|   54 |    qb |                     $ |              b |           8 |      S -> e |
|   55 |     q |                     $ |              S |           5 |             |
|   56 |    q$ |                       |              S |           6 |             |

PDA Output for aaaaaaaaaabbbbbbbbbb$
| step | state |     Unread input      | (Top of) stack | Δ rule used | R rule used |
|    0 |     p | aaaaaaaaaabbbbbbbbbb$ |                |             |             |
|    1 |     q | aaaaaaaaaabbbbbbbbbb$ |              S |           1 |             |
|    2 |    qa |  aaaaaaaaabbbbbbbbbb$ |              S |           2 |             |
|    3 |    qa |  aaaaaaaaabbbbbbbbbb$ |              a |           7 |    S -> aSb |
|    4 |     q |  aaaaaaaaabbbbbbbbbb$ |              S |           3 |             |
|    5 |    qa |   aaaaaaaabbbbbbbbbb$ |              S |           2 |             |
|    6 |    qa |   aaaaaaaabbbbbbbbbb$ |              a |           7 |    S -> aSb |
|    7 |     q |   aaaaaaaabbbbbbbbbb$ |              S |           3 |             |
|    8 |    qa |    aaaaaaabbbbbbbbbb$ |              S |           2 |             |
|    9 |    qa |    aaaaaaabbbbbbbbbb$ |              a |           7 |    S -> aSb |
|   10 |     q |    aaaaaaabbbbbbbbbb$ |              S |           3 |             |
|   11 |    qa |     aaaaaabbbbbbbbbb$ |              S |           2 |             |
|   12 |    qa |     aaaaaabbbbbbbbbb$ |              a |           7 |    S -> aSb |
|   13 |     q |     aaaaaabbbbbbbbbb$ |              S |           3 |             |
|   14 |    qa |      aaaaabbbbbbbbbb$ |              S |           2 |             |
|   15 |    qa |      aaaaabbbbbbbbbb$ |              a |           7 |    S -> aSb |
|   16 |     q |      aaaaabbbbbbbbbb$ |              S |           3 |             |
|   17 |    qa |       aaaabbbbbbbbbb$ |              S |           2 |             |
|   18 |    qa |       aaaabbbbbbbbbb$ |              a |           7 |    S -> aSb |
|   19 |     q |       aaaabbbbbbbbbb$ |              S |           3 |             |
|   20 |    qa |        aaabbbbbbbbbb$ |              S |           2 |             |
|   21 |    qa |        aaabbbbbbbbbb$ |              a |           7 |    S -> aSb |
|   22 |     q |        aaabbbbbbbbbb$ |              S |           3 |             |
|   23 |    qa |         aabbbbbbbbbb$ |              S |           2 |             |
|   24 |    qa |         aabbbbbbbbbb$ |              a |           7 |    S -> aSb |
|   25 |     q |         aabbbbbbbbbb$ |              S |           3 |             |
|   26 |    qa |          abbbbbbbbbb$ |              S |           2 |             |
|   27 |    qa |          abbbbbbbbbb$ |              a |           7 |    S -> aSb |
|   28 |     q |          abbbbbbbbbb$ |              S |           3 |             |
|   29 |    qa |           bbbbbbbbbb$ |              S |           2 |             |
|   30 |    qa |           bbbbbbbbbb$ |              a |           7 |    S -> aSb |
|   31 |     q |           bbbbbbbbbb$ |              S |           3 |             |
|   32 |    qb |            bbbbbbbbb$ |              S |           4 |             |
|   33 |    qb |            bbbbbbbbb$ |              b |           8 |      S -> e |
|   34 |     q |            bbbbbbbbb$ |              S |           5 |             |
|   35 |    qb |             bbbbbbbb$ |              S |           4 |             |
|   36 |    qb |             bbbbbbbb$ |              b |           8 |      S -> e |
|   37 |     q |             bbbbbbbb$ |              S |           5 |             |
|   38 |    qb |              bbbbbbb$ |              S |           4 |             |
|   39 |    qb |              bbbbbbb$ |              b |           8 |      S -> e |
|   40 |     q |              bbbbbbb$ |              S |           5 |             |
|   41 |    qb |               bbbbbb$ |              S |           4 |             |
|   42 |    qb |               bbbbbb$ |              b |           8 |      S -> e |
|   43 |     q |               bbbbbb$ |              S |           5 |             |
|   44 |    qb |                bbbbb$ |              S |           4 |             |
|   45 |    qb |                bbbbb$ |              b |           8 |      S -> e |
|   46 |     q |                bbbbb$ |              S |           5 |             |
|   47 |    qb |                 bbbb$ |              S |           4 |             |
|   48 |    qb |                 bbbb$ |              b |           8 |      S -> e |
|   49 |     q |                 bbbb$ |              S |           5 |             |
|   50 |    qb |                  bbb$ |              S |           4 |             |
|   51 |    qb |                  bbb$ |              b |           8 |      S -> e |
|   52 |     q |                  bbb$ |              S |           5 |             |
|   53 |    qb |                   bb$ |              S |           4 |             |
|   54 |    qb |                   bb$ |              b |           8 |      S -> e |
|   55 |     q |                   bb$ |              S |           5 |             |
|   56 |    qb |                    b$ |              S |           4 |             |
|   57 |    qb |                    b$ |              b |           8 |      S -> e |
|   58 |     q |                    b$ |              S |           5 |             |
|   59 |    qb |                     $ |              S |           4 |             |
|   60 |    qb |                     $ |              b |           8 |      S -> e |
|   61 |     q |                     $ |              S |           5 |             |
|   62 |    q$ |                       |              S |           6 |             |
